MATCHNO,BILETNO,BOLUM,
5,3171730074,1,
5,3171731074,1,
5,3171732074,1,
5,3171733074,1,
5,3171734074,1,
5,3171735074,1,
5,3171736074,1,
5,3171737074,1,
5,3171738074,1,
5,3171739074,1,
5,3171730174,1,
5,3171731174,1,
5,3171732174,1,
5,3171733174,1,
5,3171734174,1,
5,3171735174,1,
5,3171736174,1,
5,3171738174,1,
5,3171739174,1,
5,3171730274,1,
5,3171731274,1,
5,3171732274,1,
5,3171733274,1,
5,3171734274,1,
5,3171735274,1,
5,3171736274,1,
5,3171738274,1,
5,3171739274,1,
5,3171730374,1,
5,3171731374,1,
5,3171732374,1,
5,3171734374,1,
5,3171735374,1,
5,3171736374,1,
5,3171737374,1,
5,3171738374,1,
5,3171739374,1,
5,3171730474,1,
5,3171731474,1,
5,3171732474,1,
5,3171733474,1,
5,3171734474,1,
5,3171735474,1,
5,3171736474,1,
5,3171738474,1,
5,3171739474,1,
5,3171730574,1,
5,3171731574,1,
5,3171732574,1,
5,3171733574,1,
5,3171734574,1,
5,3171735574,1,
5,3171736574,1,
5,3171738574,1,
5,3171739574,1,
5,3171730674,1,
5,3171731674,1,
5,3171732674,1,
5,3171733674,1,
5,3171734674,1,
5,3171735674,1,
5,3171736674,1,
5,3171737674,1,
5,3171738674,1,
5,3171739674,1,
5,3171730774,1,
5,3171731774,1,
5,3171732774,1,
5,3171733774,1,
5,3171734774,1,
5,3171735774,1,
5,3171736774,1,
5,3171738774,1,
5,3171739774,1,
5,3171730874,1,
5,3171731874,1,
5,3171732874,1,
5,3171733874,1,
5,3171734874,1,
5,3171735874,1,
5,3171736874,1,
5,3171738874,1,
5,3171739874,1,
5,3171730974,1,
5,3171731974,1,
5,3171732974,1,
5,3171733974,1,
5,3171734974,1,
5,3171735974,1,
5,3171736974,1,
5,3171738974,1,
5,3171739974,1,
5,3179230074,1,
5,3179330074,1,
5,3179630074,1,
5,3179231074,1,
5,3179331074,1,
5,3179631074,1,
5,3179232074,1,
5,3179332074,1,
5,3179632074,1,
5,3179233074,1,
5,3179333074,1,
5,3179633074,1,
5,3179234074,1,
5,3179334074,1,
5,3179634074,1,
5,3179235074,1,
5,3179335074,1,
